items,feedback,admirers,open_date.year,open_date.month,open_date.day-of-month,open_date.day-of-week,sales
219,891,1428,2009,3,31,2,2761
44,23,102,2010,7,17,6,35
62,1571,5019,2007,6,17,7,2345
119,0,10,2011,9,22,4,1
143,115,3188,2011,1,13,4,190
23,68,89,2008,7,15,2,121
17,183,167,2011,10,21,5,972
52,7,163,2012,11,24,6,5
22,4,11,2011,1,5,3,22
87,57,664,2012,1,13,5,135
24,8,522,2012,2,13,1,15
128,4,8,2012,2,29,3,15
328,482,443,2009,4,24,5,1513
149,137,98,2009,7,8,3,303
0,9,21,2010,11,25,4,23
0,0,0,2013,6,21,5,0
0,0,0,2013,6,21,5,0
87,244,395,2011,1,17,1,243
0,205,89,2007,12,26,3,52
